MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	Endeca Element	INST	verified
490	.	.	.	x	Series ISSN	NCCU	
490	.	.	.	x	Series ISSN	NCSU	
490	.	.	.	x	Series ISSN	UNC	
490	.	.	.	avx	Series Statement	Duke	
490	.	.	.	avx	Series Statement	NCCU	
490	.	.	.	avx	Series Statement	NCSU	
490	.	.	.	avx	Series Statement	UNC	
500	.	.	.	a	Indexed Notes	Duke	
500	.	.	.	a	Indexed Notes	NCCU	
500	.	.	.	a	Indexed Notes	NCSU	
500	.	.	.	a	Indexed Notes	UNC	
501	.	.	.	a	Indexed Notes	Duke	
501	.	.	.	a	Indexed Notes	NCCU	
501	.	.	.	a	Indexed Notes	NCSU	
501	.	.	.	a	Indexed Notes	UNC	
502	.	.	.	a	Indexed Notes	Duke	
502	.	.	.	a	Indexed Notes	NCCU	
502	.	.	.	a	Indexed Notes	NCSU	
502	.	.	.	a	Indexed Notes	UNC	
504	.	.	.	a	Indexed Notes	Duke	
504	.	.	.	a	Indexed Notes	NCCU	
504	.	.	.	a	Indexed Notes	NCSU	
504	.	.	.	a	Indexed Notes	UNC	
505	.	.	.	agrt	Table of Contents	Duke	
505	.	.	.	agrt	Table of Contents	NCCU	
505	.	.	.	agrt	Table of Contents	NCSU	
505	.	.	.	agrt	Table of Contents	UNC	
505	.	.	.	r	Table of Contents author index	Duke	
505	.	.	.	r	Table of Contents author index	NCCU	
505	.	.	.	r	Table of Contents author index	NCSU	
505	.	.	.	r	Table of Contents author index	UNC	
506	.	.	.	abcdeu	Access Restrictions	Duke	
506	.	.	.	abcdeu	Access Restrictions	NCSU	
506	.	.	.	abcdefu	Access Restrictions	UNC	y
507	.	.	.	ab	Indexed Notes	Duke	
507	.	.	.	ab	Indexed Notes	NCCU	
507	.	.	.	ab	Indexed Notes	NCSU	
507	.	.	.	ab	Indexed Notes	UNC	
508	.	.	.	a	Production Credits	Duke	
508	.	.	.	a	Production Credits	NCCU	
508	.	.	.	a	Production Credits	NCSU	
508	.	.	.	a	Production Credits	UNC	
510	.	.	.	abcx	Notes	Duke	
510	.	.	.	abcx	Notes	NCCU	
510	.	.	.	abcx	Notes	NCSU	
510	.	.	.	abcx	Notes	UNC	
511	.	.	.	a	Performer Credits	Duke	
511	.	.	.	a	Performer Credits	NCCU	
511	.	.	.	a	Performer Credits	NCSU	
511	.	.	.	a	Performer Credits	UNC	
513	.	.	.	ab	Notes	Duke	
513	.	.	.	ab	Notes	NCCU	
513	.	.	.	ab	Notes	NCSU	
513	.	.	.	ab	Notes	UNC	
514	.	.	.	abcdefghijkmuz	Notes	Duke	
514	.	.	.	abcdefghijkmuz	Notes	NCCU	
514	.	.	.	abcdefghijkmuz	Notes	NCSU	
514	.	.	.	abcdefghijkmuz	Notes	UNC	
515	.	.	.	a	Notes	Duke	
515	.	.	.	a	Notes	NCCU	
515	.	.	.	a	Notes	NCSU	
515	.	.	.	a	Notes	UNC	
516	.	.	.	a	Notes	Duke	
516	.	.	.	a	Notes	NCCU	
516	.	.	.	a	Notes	NCSU	
516	.	.	.	a	Notes	UNC	
518	.	.	.	a	Notes	Duke	
518	.	.	.	a	Notes	NCCU	
518	.	.	.	a	Notes	NCSU	
518	.	.	.	a	Notes	UNC	
520	.	.	.	abu	Summary	Duke	
520	.	.	.	abu	Summary	NCCU	
520	.	.	.	abu	Summary	NCSU	
520	.	.	.	abu	Summary	UNC	
521	.	.	.	ab	Notes	Duke	
521	.	.	.	ab	Notes	NCCU	
521	.	.	.	ab	Notes	NCSU	
521	.	.	.	ab	Notes	UNC	
522	.	.	.	a	Indexed Notes	Duke	
522	.	.	.	a	Indexed Notes	NCCU	
522	.	.	.	a	Indexed Notes	NCSU	
522	.	.	.	a	Indexed Notes	UNC	
524	.	.	.	a	Notes	Duke	
524	.	.	.	a	Notes	NCCU	
524	.	.	.	a	Notes	NCSU	
524	.	.	.	a	Notes	UNC	
525	.	.	.	a	Notes	Duke	
525	.	.	.	a	Notes	NCCU	
525	.	.	.	a	Notes	NCSU	
525	.	.	.	a	Notes	UNC	
530	.	.	.	abcu	Other Format	Duke	
530	.	.	.	abcu	Other Format	NCCU	
530	.	.	.	abcu	Other Format	NCSU	
530	.	.	.	abcu	Other Format	UNC	
533	.	.	.	cf	Indexed Notes	Duke	
533	.	.	.	cf	Indexed Notes	NCCU	
533	.	.	.	cf	Indexed Notes	NCSU	
533	.	.	.	cf	Indexed Notes	UNC	
533	.	.	.	abcdefmn	Notes	Duke	
533	.	.	.	abcdefmn	Notes	NCCU	
533	.	.	.	abcdefmn	Notes	NCSU	
533	.	.	.	abcdefmn	Notes	UNC	
534	.	.	.	abcefnpt	Indexed Notes	Duke	
534	.	.	.	abcefnpt	Indexed Notes	NCCU	
534	.	.	.	abcefnpt	Indexed Notes	NCSU	
534	.	.	.	abcefnpt	Indexed Notes	UNC	
535	.	.	.	abdcdg	Notes	Duke	
535	.	.	.	abdcdg	Notes	NCCU	
535	.	.	.	abdcdg	Notes	NCSU	
535	.	.	.	abdcdg	Notes	UNC	
536	.	.	.	abcdefgh	Indexed Notes	Duke	
536	.	.	.	abcdefgh	Indexed Notes	NCCU	
536	.	.	.	abcdefgh	Indexed Notes	NCSU	
536	.	.	.	abcdefgh	Indexed Notes	UNC	
538	.	.	.	aiu	System Details	Duke	
538	.	.	.	aiu	System Details	NCCU	
538	.	.	.	aiu	System Details	NCSU	
538	.	.	.	aiu	System Details	UNC	
540	.	.	.	abu3	Notes	Duke	
540	.	.	.	abu3	Notes	NCCU	
540	.	.	.	abu3	Notes	NCSU	
540	.	.	.	abu3	Notes	UNC	
541	.	.	.	a	Indexed Notes	Duke	
541	.	.	.	a	Indexed Notes	NCCU	
541	.	.	.	a	Indexed Notes	NCSU	
541	.	.	.	a	Indexed Notes	UNC	
541	.	.	.	abcdefhno	Source of Acquisition	Duke	
541	.	.	.	abcdefhno	Source of Acquisition	NCCU	
541	.	.	.	abcdefhno	Source of Acquisition	NCSU	
541	.	.	.	abcdefhno	Source of Acquisition	UNC	
544	.	.	.	abcden	Related Collections	Duke	
544	.	.	.	abcden	Related Collections	NCCU	
544	.	.	.	abcden	Related Collections	NCSU	
544	.	.	.	abcden	Related Collections	UNC	
545	.	.	.	abu	Biographical Sketch	Duke	
545	.	.	.	abu	Biographical Sketch	NCCU	
545	.	.	.	abu	Biographical Sketch	NCSU	
545	.	.	.	abu	Biographical Sketch	UNC	
546	.	.	.	ab	Notes	Duke	
546	.	.	.	ab	Notes	NCCU	
546	.	.	.	ab	Notes	NCSU	
546	.	.	.	ab	Notes	UNC	
547	.	.	.	a	Notes	Duke	
547	.	.	.	a	Notes	NCCU	
547	.	.	.	a	Notes	NCSU	
547	.	.	.	a	Notes	UNC	
550	.	.	.	a	Notes	Duke	
550	.	.	.	a	Notes	NCCU	
550	.	.	.	a	Notes	NCSU	
550	.	.	.	a	Notes	UNC	
555	.	.	.	abcdu	Cumulative Indexes	Duke	
555	.	.	.	abcdu	Cumulative Indexes	NCCU	
555	.	.	.	abcdu	Cumulative Indexes	NCSU	
555	.	.	.	abcdu	Cumulative Indexes	UNC	
556	.	.	.	a	Notes	Duke	
556	.	.	.	a	Notes	NCCU	
556	.	.	.	a	Notes	NCSU	
556	.	.	.	a	Notes	UNC	
561	.	.	.	a	Indexed Notes	Duke	
561	.	.	.	a	Indexed Notes	NCCU	
561	.	.	.	a	Indexed Notes	NCSU	
561	.	.	.	a	Indexed Notes	UNC	
563	.	.	.	a	Indexed Notes	Duke	
563	.	.	.	a	Indexed Notes	NCCU	
563	.	.	.	a	Indexed Notes	NCSU	
563	.	.	.	a	Indexed Notes	UNC	
565	.	.	.	abdce	Notes	Duke	
565	.	.	.	abdce	Notes	NCCU	
565	.	.	.	abdce	Notes	NCSU	
565	.	.	.	abdce	Notes	UNC	
567	.	.	.	a	Notes	Duke	
567	.	.	.	a	Notes	NCCU	
567	.	.	.	a	Notes	NCSU	
567	.	.	.	a	Notes	UNC	
580	.	.	.	a	Notes	Duke	
580	.	.	.	a	Notes	NCCU	
580	.	.	.	a	Notes	NCSU	
580	.	.	.	a	Notes	UNC	
581	.	.	.	a	Indexed Notes	Duke	
581	.	.	.	a	Indexed Notes	NCCU	
581	.	.	.	a	Indexed Notes	NCSU	
581	.	.	.	a	Indexed Notes	UNC	
585	.	.	.	a	Indexed Notes	Duke	
585	.	.	.	a	Indexed Notes	NCCU	
585	.	.	.	a	Indexed Notes	NCSU	
585	.	.	.	a	Indexed Notes	UNC	
586	.	.	.	a	Indexed Notes	Duke	
586	.	.	.	a	Indexed Notes	NCCU	
586	.	.	.	a	Indexed Notes	NCSU	
586	.	.	.	a	Indexed Notes	UNC	
588	.	.	.	a	Notes	Duke	
588	.	.	.	a	Notes	NCCU	
588	.	.	.	a	Notes	NCSU	
588	.	.	.	a	Notes	UNC	
590	.	.	.	a	Indexed Notes	Duke	
590	.	.	.	a	Indexed Notes	NCCU	
590	.	.	.	a	Indexed Notes	NCSU	
590	.	.	.	a	Indexed Notes	UNC	
590	.	.	.	a	Notes	Duke	
590	.	.	.	a	Notes	NCCU	
590	.	.	.	a	Notes	NCSU	
590	.	.	.	a	Notes	UNC	
599	.	.	.	ab	Most Recently Arrived	Duke	
599	.	.	.	ab	Most Recently Arrived	NCCU	
599	.	.	.	ab	Most Recently Arrived	NCSU	
599	.	.	.	ab	Most Recently Arrived	UNC	
600	.	[12347]	.	v	Genre	Duke	
600	.	[12347]	.	v	Genre	NCCU	
600	.	[12347]	.	v	Genre	NCSU	
600	.	[12347]	.	v	Genre	UNC	
600	.	[12347]	.	z	Region	Duke	
600	.	[12347]	.	z	Region	NCCU	
600	.	[12347]	.	z	Region	NCSU	
600	.	[12347]	.	z	Region	UNC	
600	.	[12347]	.	a	Subject	Duke	
600	.	[12347]	.	x	Subject	Duke	
600	.	[12347]	.	a	Subject	NCCU	
600	.	[12347]	.	x	Subject	NCCU	
600	.	[12347]	.	a	Subject	NCSU	
600	.	[12347]	.	x	Subject	NCSU	
600	.	[12347]	.	a	Subject	UNC	
600	.	[12347]	.	x	Subject	UNC	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	Duke	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	NCCU	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	NCSU	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	UNC	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	Duke	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	NCCU	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	NCSU	
600	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	UNC	
600	.	[12347]	.	y	Time Period	Duke	
600	.	[12347]	.	y	Time Period	NCCU	
600	.	[12347]	.	y	Time Period	NCSU	
600	.	[12347]	.	y	Time Period	UNC	
610	.	[12347]	.	v	Genre	Duke	
610	.	[12347]	.	v	Genre	NCCU	
610	.	[12347]	.	v	Genre	NCSU	
610	.	[12347]	.	v	Genre	UNC	
610	.	[12347]	.	z	Region	Duke	
610	.	[12347]	.	z	Region	NCCU	
610	.	[12347]	.	z	Region	NCSU	
610	.	[12347]	.	z	Region	UNC	
610	.	[12347]	.	a	Subject	Duke	
610	.	[12347]	.	x	Subject	Duke	
610	.	[12347]	.	a	Subject	NCCU	
610	.	[12347]	.	x	Subject	NCCU	
610	.	[12347]	.	a	Subject	NCSU	
610	.	[12347]	.	x	Subject	NCSU	
610	.	[12347]	.	a	Subject	UNC	
610	.	[12347]	.	x	Subject	UNC	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	Duke	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	NCCU	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	NCSU	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subject Headings	UNC	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	Duke	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	NCCU	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	NCSU	
610	.	.	.	abcdefghijklmnopqrstvxyz	Subjects	UNC	
610	.	[12347]	.	y	Time Period	Duke	
610	.	[12347]	.	y	Time Period	NCCU	
610	.	[12347]	.	y	Time Period	NCSU	
610	.	[12347]	.	y	Time Period	UNC	
611	.	[12347]	.	v	Genre	Duke	
611	.	[12347]	.	v	Genre	NCCU	
611	.	[12347]	.	v	Genre	NCSU	
611	.	[12347]	.	v	Genre	UNC	
611	.	[12347]	.	z	Region	Duke	
611	.	[12347]	.	z	Region	NCCU	
611	.	[12347]	.	z	Region	NCSU	
611	.	[12347]	.	z	Region	UNC	
611	.	[12347]	.	a	Subject	Duke	
611	.	[12347]	.	x	Subject	Duke	
611	.	[12347]	.	a	Subject	NCCU	
611	.	[12347]	.	x	Subject	NCCU	
611	.	[12347]	.	a	Subject	NCSU	
611	.	[12347]	.	x	Subject	NCSU	
611	.	[12347]	.	a	Subject	UNC	
611	.	[12347]	.	x	Subject	UNC	
611	.	.	.	acdefghijklmnopqrstvxyz	Subject Headings	Duke	
611	.	.	.	acdefghijklmnopqrstvxyz	Subject Headings	NCCU	
611	.	.	.	acdefghijklmnopqrstvxyz	Subject Headings	NCSU	
611	.	.	.	acdefghijklmnopqrstvxyz	Subject Headings	UNC	
611	.	.	.	acdefghijklmnopqrstvxyz	Subjects	Duke	
611	.	.	.	acdefghijklmnopqrstvxyz	Subjects	NCCU	
611	.	.	.	acdefghijklmnopqrstvxyz	Subjects	NCSU	
611	.	.	.	acdefghijklmnopqrstvxyz	Subjects	UNC	
611	.	[12347]	.	y	Time Period	Duke	
611	.	[12347]	.	y	Time Period	NCCU	
611	.	[12347]	.	y	Time Period	NCSU	
611	.	[12347]	.	y	Time Period	UNC	
630	.	[12347]	.	v	Genre	Duke	
630	.	[12347]	.	v	Genre	NCCU	
630	.	[12347]	.	v	Genre	NCSU	
630	.	[12347]	.	v	Genre	UNC	
630	.	[12347]	.	z	Region	Duke	
630	.	[12347]	.	z	Region	NCCU	
630	.	[12347]	.	z	Region	NCSU	
630	.	[12347]	.	z	Region	UNC	
630	.	[12347]	.	a	Subject	Duke	
630	.	[12347]	.	x	Subject	Duke	
630	.	[12347]	.	a	Subject	NCCU	
630	.	[12347]	.	x	Subject	NCCU	
630	.	[12347]	.	a	Subject	NCSU	
630	.	[12347]	.	x	Subject	NCSU	
630	.	[12347]	.	a	Subject	UNC	
630	.	[12347]	.	x	Subject	UNC	
