Endeca Element	MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	INST
Translated as Linking	767	.	.	.	abcdghikmnorstuwxyz	TRLN
Translation of Linking	765	.	.	.	abcdghikmnorstuwxyz	TRLN
Uncontrolled Author	720	.	.	.	a	TRLN
Uncontrolled Subject	695	.	.	.	a	TRLN
Uniform Title	240	.	.	.	adfghklmnoprs	TRLN
Uniform Title	730	.	.	.	adfghklmnoprst	TRLN
UniqueId	907	.	.	.	a	UNC
UPC	024	1	.	.	a	TRLN
Varying Titles	246	.	.	.	abhnp	TRLN
Varying Titles	247	.	.	.	abfhnp	TRLN
Varying Titles	740	.	.	.	ahnp	TRLN
Volumes	362	.	.	.	a	TRLN
OCLCNumber	001	.	.	.		UNC
Format	007	.	.	.	various codes may contribute to complex logic	TRLN
Language	041	.	b	complex constraints specified in transformation code are met	adegj	UNC
Call Number Range	050	.	.			
